date,avg_price,volume,ticker
2024-08-05,53739.0,6220425122.88,BTC
2024-08-06,55532.845,2473716223.17,BTC
2024-08-07,56167.06,2232435439.52,BTC
2024-08-08,58734.4,2834182014.44,BTC
2024-08-09,60662.884999999995,2000603963.46,BTC
2024-08-10,60874.205,725371248.47,BTC
2024-08-11,60086.899999999994,1093722861.0,BTC
2024-08-12,59192.965,1967504137.76,BTC
2024-08-13,60022.34,1727785105.35,BTC
2024-08-14,60125.26,1858459018.71,BTC
2024-08-15,58001.275,2023439063.25,BTC
2024-08-16,58479.229999999996,1708248208.47,BTC
2024-08-17,59262.075,574723583.6,BTC
2024-08-18,59357.240000000005,830090221.14,BTC
2024-08-19,58730.345,1420739617.67,BTC
2024-08-20,60015.854999999996,1877438049.21,BTC
2024-08-21,60328.96000000001,2311932103.1,BTC
2024-08-22,60591.695,1754742660.96,BTC
2024-08-23,62666.97,2623908332.37,BTC
2024-08-24,64057.32,979836005.58,BTC
2024-08-25,64443.665,819671993.67,BTC
2024-08-26,63660.100000000006,1719932426.98,BTC
2024-08-27,60633.085,2403744129.11,BTC
2024-08-28,59050.525,2251640371.44,BTC
2024-08-29,59963.69,2058113286.38,BTC
2024-08-30,58826.025,2063630420.49,BTC
2024-08-31,59107.850000000006,474924657.65,BTC
2024-09-01,58151.79,1298154355.3,BTC
2024-09-02,58283.155,1383666270.94,BTC
2024-09-03,58618.64,1548986994.4,BTC
2024-09-04,57079.025,2458579314.87,BTC
2024-09-05,56990.770000000004,2198240196.62,BTC
2024-09-06,54778.165,3807917186.59,BTC
2024-09-07,54297.315,925092003.79,BTC
2024-09-08,54476.685,1042880564.27,BTC
2024-09-09,56298.305,2385673385.77,BTC
2024-09-10,57224.01,1908344975.36,BTC
2024-09-11,56778.555,3160608627.55,BTC
2024-09-12,57952.14,2373500502.95,BTC
2024-09-13,59151.795,2401277043.91,BTC
2024-09-14,60043.25,903199598.39,BTC
2024-09-15,59553.505000000005,1146142289.52,BTC
2024-09-16,58351.275,1927790314.93,BTC
2024-09-17,59490.655,2440680770.1,BTC
2024-09-18,60489.869999999995,2902628124.61,BTC
2024-09-19,62732.075,2939807292.07,BTC
2024-09-20,63238.395000000004,2188110863.96,BTC
2024-09-21,63157.665,766364347.61,BTC
2024-09-22,63205.025,1190921326.46,BTC
2024-09-23,63666.91,1734107185.41,BTC
2024-09-24,63704.25,2045185242.06,BTC
2024-09-25,63881.16,1526541478.78,BTC
2024-09-26,64260.755,2800234985.9,BTC
2024-09-27,65693.4,2378877920.32,BTC
2024-09-28,65854.8,682765288.62,BTC
2024-09-29,65761.13500000001,758322138.61,BTC
2024-09-30,64236.729999999996,2712227231.34,BTC
2024-10-01,62134.56,4189744833.01,BTC
2024-10-02,61180.05,3402156876.74,BTC
2024-10-03,60662.435,3058499959.35,BTC
2024-10-04,61469.425,2395319327.7,BTC
2024-10-05,62033.80499999999,625465514.89,BTC
2024-10-06,62395.845,838451338.95,BTC
2024-10-07,63293.805,2602786910.05,BTC
2024-10-08,62509.195,2090901005.09,BTC
2024-10-09,61383.244999999995,2311387233.46,BTC
2024-10-10,60060.25,2553922274.06,BTC
2024-10-11,61728.869999999995,2236421715.94,BTC
2024-10-12,62971.744999999995,987509499.19,BTC
2024-10-13,62656.425,1051974824.5,BTC
2024-10-14,64466.42999999999,3279898050.67,BTC
2024-10-15,66365.10500000001,3442311150.59,BTC
2024-10-16,67577.06,2841013476.69,BTC
2024-10-17,67287.595,2154293295.5,BTC
2024-10-18,68091.905,2516405877.34,BTC
2024-10-19,68345.375,526753638.72,BTC
2024-10-20,68739.985,824334290.12,BTC
2024-10-21,68156.43,2480399716.7,BTC
2024-10-22,67170.66,2184452853.61,BTC
2024-10-23,66303.915,2154644447.87,BTC
2024-10-24,67634.54999999999,2144280257.66,BTC
2024-10-25,67128.05,2952724943.71,BTC
2024-10-26,66854.85500000001,946447393.67,BTC
2024-10-27,67553.525,818581011.16,BTC
2024-10-28,68891.37,2902994091.1,BTC
2024-10-29,71668.645,4194343293.57,BTC
2024-10-30,72176.73,2769522546.26,BTC
2024-10-31,71130.13,2794856636.84,BTC
2024-11-01,70185.88,3429441961.46,BTC
2024-11-02,69445.63,750733288.76,BTC
2024-11-03,68411.35500000001,2028670648.54,BTC
2024-11-04,68123.6,2939056973.62,BTC
2024-11-05,68986.51000000001,3274519976.93,BTC
2024-11-06,72889.06,8601347745.99,BTC
2024-11-07,75718.005,4433063855.56,BTC
2024-11-08,76472.995,3714364388.44,BTC
2024-11-09,76356.43,1208160963.89,BTC
2024-11-10,79033.095,4582398468.87,BTC
2024-11-11,84964.17499999999,8845679630.06,BTC
2024-11-12,87565.805,10326697667.45,BTC
2024-11-13,89866.36,11250681620.25,BTC
2024-11-14,89248.195,7309565757.27,BTC
2024-11-15,89508.095,6353615968.72,BTC
2024-11-16,90951.845,2501576427.85,BTC
2024-11-17,90082.36499999999,2791320512.2,BTC
2024-11-18,90098.975,6006522738.03,BTC
2024-11-19,92235.58499999999,5995386487.48,BTC
2024-11-20,93334.28,6579886464.89,BTC
2024-11-21,96604.685,8678686263.5,BTC
2024-11-22,98490.38,7337283037.5,BTC
2024-11-23,98121.555,2853544178.0,BTC
2024-11-24,97225.76999999999,2940396079.61,BTC
2024-11-25,95783.58499999999,6533804395.53,BTC
2024-11-26,92869.03,7150066318.55,BTC
2024-11-27,94565.39,4533983270.73,BTC
2024-11-28,95674.725,2311939499.68,BTC
2024-11-29,97063.54000000001,3883366949.57,BTC
2024-11-30,96825.695,1215861238.63,BTC
2024-12-01,96824.495,1659820134.72,BTC
2024-12-02,96319.625,5040855658.82,BTC
2024-12-03,94947.465,5033493735.21,BTC
2024-12-04,96944.89,5727735676.06,BTC
2024-12-05,97885.23999999999,12041439286.7,BTC
2024-12-06,99257.785,5653979066.29,BTC
2024-12-07,99802.215,1728102575.48,BTC
2024-12-08,100080.41,1785051035.31,BTC
2024-12-09,97928.515,6847958219.35,BTC
2024-12-10,96300.33,6621616095.14,BTC
2024-12-11,98854.92499999999,5482015399.12,BTC
2024-12-12,100954.79999999999,4765401240.36,BTC
2024-12-13,100589.87,3492131954.88,BTC
2024-12-14,101630.01999999999,1683710017.37,BTC
2024-12-15,103184.315,2557994217.64,BTC
2024-12-16,105564.41500000001,6398449052.08,BTC
2024-12-17,106839.06,4365460605.55,BTC
2024-12-18,103224.13,7727995790.43,BTC
2024-12-19,99161.695,8011759334.63,BTC
2024-12-20,95137.95,8141536426.69,BTC
2024-12-21,97954.455,2907358271.75,BTC
2024-12-22,95786.525,2842280143.72,BTC
2024-12-23,94403.33,5422281368.55,BTC
2024-12-24,96438.72,3967574825.79,BTC
2024-12-25,98526.8,2147049998.69,BTC
2024-12-26,97493.41500000001,3704007593.19,BTC
2024-12-27,95310.755,4479654695.05,BTC
2024-12-28,94775.39,1339743546.48,BTC
2024-12-29,94013.055,1684134735.83,BTC
2024-12-30,93110.38,5287498462.5,BTC
2024-12-31,94017.33499999999,3659994868.24,BTC
2025-01-01,93841.155,1798161467.81,BTC
2023-01-01,1197.3049999999998,212091101.2,ETH
2023-01-02,1207.375,396971135.51,ETH
2023-01-03,1212.215,392700511.47,ETH
2023-01-04,1239.72,825157843.82,ETH
2023-01-05,1250.77,494598797.89,ETH
2023-01-06,1255.75,667398617.34,ETH
2023-01-07,1265.775,231711574.14,ETH
2023-01-08,1275.3,392241837.02,ETH
2023-01-09,1314.5900000000001,1022290294.83,ETH
2023-01-10,1331.63,682508755.42,ETH
2023-01-11,1357.13,750208058.14,ETH
2023-01-12,1402.2,1173416087.03,ETH
2023-01-13,1432.635,827418332.41,ETH
2023-01-14,1525.17,1000747558.84,ETH
2023-01-15,1541.565,605354595.73,ETH
2023-01-16,1562.2150000000001,854808666.21,ETH
2023-01-17,1574.685,701015677.04,ETH
2023-01-18,1556.1799999999998,1186461141.36,ETH
2023-01-19,1536.235,750596721.84,ETH
2023-01-20,1602.405,1052523938.77,ETH
2023-01-21,1650.395,911165415.27,ETH
2023-01-22,1635.115,787251000.78,ETH
2023-01-23,1619.65,872732022.61,ETH
2023-01-24,1589.315,911498894.01,ETH
2023-01-25,1578.87,1132268819.24,ETH
